date,funding_rate,long_liquidations,short_liquidations,open_interest,long_short_ratio,etf_flow
2023-09-15,0.0027193333333333336,0.0,0.0,12732759529.0,1.269,
2023-09-16,0.0014629999999999999,0.0,0.0,12507938725.0,1.348,
2023-09-17,0.0014186666666666668,0.0,0.0,12295791265.0,1.442,
2023-09-18,0.0023413333333333333,0.0,0.0,12175826625.0,1.399,
2023-09-19,0.0017426666666666665,0.0,0.0,12710895743.0,1.276,
2023-09-20,0.0013496666666666668,0.0,0.0,13140994105.0,1.203,
2023-09-21,0.003507666666666667,0.0,0.0,12961835715.0,1.366,
2023-09-22,0.0041916666666666665,0.0,0.0,13060442650.0,1.701,
2023-09-23,0.002532,0.0,0.0,12497881884.0,1.712,
2023-09-24,0.003009,0.0,0.0,12112114988.0,1.765,
2023-09-25,0.0037073333333333333,0.0,0.0,12200167098.0,1.807,
2023-09-26,0.005746666666666666,0.0,0.0,12540905639.0,1.838,
2023-09-27,0.006051,0.0,0.0,12625680962.0,1.919,
2023-09-28,0.00079,0.0,0.0,12490931891.0,1.816,
2023-09-29,0.003938333333333333,0.0,0.0,13204642884.0,0.991,
2023-09-30,0.0031923333333333335,0.0,0.0,12797923164.0,1.248,
2023-10-01,0.003572,0.0,0.0,12393360208.0,1.237,
2023-10-02,0.0027433333333333337,0.0,0.0,13023819737.0,1.085,
2023-10-03,0.006268666666666666,0.0,0.0,12892322404.0,1.11,
2023-10-04,0.0037893333333333334,0.0,0.0,13064639746.0,1.428,
2023-10-05,0.0011606666666666666,0.0,0.0,13259809386.0,1.344,
2023-10-06,0.001824666666666667,0.0,0.0,13184078951.0,1.388,
2023-10-07,0.002124,0.0,0.0,13743165597.0,0.926,
2023-10-08,0.003531333333333333,0.0,0.0,13504652791.0,0.955,
2023-10-09,0.006393,0.0,0.0,13763597095.0,1.032,
2023-10-10,0.0060223333333333335,0.0,0.0,13493586061.0,1.275,
2023-10-11,0.009309,0.0,0.0,13375698171.0,1.515,
