timestamp,open,high,low,close,volume,ema_20,ema_50,ema_200,rsi_14,macd,macd_signal,macd_hist,stoch_k,stoch_d,bb_upper,bb_lower,bb_mid,bb_width,atr_14,volume_sma_20,volume_ratio,above_ema200,above_ema50,ema_bullish,macd_bullish,rsi_oversold,rsi_overbought,high_volume,future_return_1h,future_return_4h,future_return_24h,hit_tp_before_sl,signal
2025-09-26,109041.296875,110359.1953125,108728.9765625,109712.828125,57738288949.0,113288.11831800311,113523.4565993387,106147.33687968011,38.4861536975522,-527.818372700378,136.38927333251613,-664.2076460328941,15.309608881972043,18.984664929996395,118929.43031441212,109186.23765433788,114057.833984375,0.0854232657215723,2346.4251214442756,46355614283.299995,1.2455511558133037,1,0,0,0,0,0,0,3.9588,4.9738,-20.2383,1,BUY
2025-09-27,109707.140625,109778.5,109144.296875,109681.9453125,26308042910.0,112944.67326985995,113372.80909789403,106182.50711284249,38.412622199820866,-744.1205089845898,-39.71268313090506,-704.4078258536848,8.3488053560094,13.494440832765166,119080.79069253338,108886.31008871661,113983.550390625,0.0894381739196576,2224.1235502696845,46440116052.799995,0.5664939097070543,1,0,0,0,0,0,0,8.1754,5.0958,-19.1006,1,BUY
2025-09-28,109681.9453125,112375.484375,109236.9453125,112122.640625,33371048505.0,112866.38444653996,113323.78288327075,106241.6129189336,47.02667520004543,-710.4086477088713,-173.85187604649832,-536.556771662373,19.486085371591837,14.381499869857759,119079.35676945842,108892.86510554157,113986.1109375,0.08936607785050436,2289.438944000421,46098027807.7,0.723914885127165,1,0,0,0,0,0,0,7.6333,0.8883,-19.7801,1,HOLD
2025-09-29,112117.875,114473.5703125,111589.953125,114400.3828125,60000147466.0,113012.47952901234,113366.00248833856,106322.79470891935,53.55537854765278,-494.20016425685026,-237.92153368856873,-256.2786305682815,36.47295071431766,21.4359471473063,119091.57402459475,109167.63144415522,114129.60273437499,0.08695327367025445,2331.880247107534,46798811144.9,1.2820870017450998,1,1,0,0,0,0,0,6.876,-3.1619,-20.8017,1,HOLD
2025-09-30,114396.5234375,114836.6171875,112740.5625,114056.0859375,58986330258.0,113111.87061553498,113393.0645843841,106399.74288034801,52.50206115403671,-346.6394203641539,-259.66511102368577,-86.97430934046815,52.32405917928351,36.094365088397666,119096.070144943,109173.20798005695,114134.63906249998,0.08693997060307267,2315.0355642784248,46929253968.6,1.2569202633706322,1,1,0,0,0,0,0,7.3379,-5.1466,-19.8522,1,HOLD
2025-10-01,114057.59375,118648.9296875,113981.3984375,118648.9296875,71328680132.0,113639.20957476973,113599.17694136905,106521.62533614057,62.965903536442,139.30185385790537,-179.87171804736755,319.1735719052729,73.30290455021853,54.033304814606566,119621.37908848675,108962.03809901321,114291.70859374998,0.09326434192494382,2483.0709704013943,48211434708.600006,1.4794971475776537,1,1,1,1,0,0,0,4.1,-10.2665,-20.8737,1,HOLD
2025-10-02,118652.3828125,121086.40625,118383.15625,120681.2578125,71415163912.0,114309.88083550594,113876.90560298203,106662.517201577,66.48442305760088,680.5606301987427,-7.785248398145512,688.3458785968883,84.93613228842923,70.18769867264376,120528.19016054817,108513.19499570181,114520.69257812499,0.10491549513333444,2498.798043944152,49042906609.50001,1.4561772302901457,1,1,1,1,0,0,0,3.3736,-11.1724,-22.3334,1,HOLD
2025-10-03,120656.984375,123944.703125,119344.3125,122266.53125,83941392228.0,115067.65706545777,114205.91053031608,106817.78102295434,68.96157647782793,1223.3286564749287,238.43753257646935,984.8911238984593,95.23587775132059,84.49163819665611,121755.37207005198,107917.61542994801,114836.49375,0.12049964421788145,2648.9117997338553,51512503473.55001,1.6295343182282174,1,1,1,1,0,0,1,-0.6667,-11.1231,-25.3205,0,HOLD
2025-10-04,122267.46875,122857.640625,121577.5703125,122425.4296875,36769171735.0,115768.39731517607,114528.24461491153,106973.08100966625,69.20724801127665,1647.3088526289212,520.2117965869597,1127.0970560419614,91.91098543541624,90.69433182505534,122895.06733059569,107479.69751315433,115187.38242187501,0.13382863203699172,2551.13740778858,51711060257.450005,0.7110504319954003,1,1,1,1,0,0,0,0.7592,-9.6683,-25.6469,0,HOLD
2025-10-05,122419.671875,125559.2109375,122191.9609375,123513.4765625,73689317763.0,116506.0239101593,114880.60665207186,107137.6620599432,70.90541358547065,2047.5100806398113,825.6714533975301,1221.8386272422813,88.95451181179662,92.03379166617782,124152.56780760408,107029.05719239592,115590.8125,0.1481390280495533,2609.4311643751103,52748633174.8,1.3969900891802471,1,1,1,1,0,1,0,-1.4637,-12.174,-26.718,0,HOLD
